code,tradeStatus_x,code_name_x
sh.600458,1,时代新材
sh.600459,1,贵研铂业
sh.600460,1,士兰微
sh.600461,1,洪城环境
sh.600462,1,ST九有
sh.600463,1,空港股份
sh.600467,1,好当家
sh.600468,1,百利电气
sh.600469,1,风神股份
sh.600470,1,六国化工
sh.600475,1,华光环能
sh.600476,1,湘邮科技
sh.600477,1,杭萧钢构
sh.600478,1,科力远
sh.600479,1,千金药业
sh.600480,1,凌云股份
sh.600481,1,双良节能
sh.600482,1,中国动力
sh.600483,1,福能股份
sh.600486,1,扬农化工
sh.600487,1,亨通光电
sh.600488,1,津药药业
sh.600489,1,中金黄金
sh.600490,1,鹏欣资源
sh.600491,1,龙元建设
sh.600493,1,凤竹纺织
sh.600495,1,晋西车轴
sh.600496,1,精工钢构
sh.600498,1,烽火通信
sh.600499,1,科达制造
sh.600500,1,中化国际
sh.600501,1,航天晨光
sh.600502,1,安徽建工
sh.600503,1,华丽家族
sh.600505,1,西昌电力
sh.600506,1,统一股份
sh.600507,1,方大特钢
sh.600508,1,上海能源
sh.600509,1,天富能源
sh.600510,1,黑牡丹
sh.600511,1,国药股份
sh.600512,1,腾达建设
sh.600513,1,联环药业
sh.600515,1,海南机场
sh.600516,1,方大炭素
sh.600517,1,国网英大
sh.600518,1,ST康美
sh.600519,1,贵州茅台
sh.600520,1,文一科技
sh.600521,1,华海药业
sh.600522,1,中天科技
sh.600523,1,贵航股份
sh.600525,1,长园集团
sh.600526,1,菲达环保
sh.600527,1,江南高纤
sh.600528,1,中铁工业
sh.600529,1,山东药玻
sh.600530,1,ST交昂
sh.600531,1,豫光金铅
sh.600533,1,栖霞建设
sh.600535,1,天士力
sh.600536,1,中国软件
sh.600537,1,亿晶光电
sh.600538,1,国发股份
sh.600539,1,狮头股份
sh.600540,1,新赛股份
sh.600543,1,*ST莫高
sh.600545,1,卓郎智能
sh.600546,1,山煤国际
sh.600547,1,山东黄金
sh.600548,1,深高速
sh.600549,1,厦门钨业
sh.600550,1,保变电气
sh.600551,1,时代出版
sh.600552,1,凯盛科技
sh.600557,1,康缘药业
sh.600558,1,大西洋
sh.600559,1,老白干酒
sh.600560,1,金自天正
sh.600561,1,江西长运
sh.600562,1,国睿科技
sh.600563,1,法拉电子
sh.600565,1,迪马股份
sh.600566,1,济川药业
sh.600567,1,山鹰国际
sh.600568,1,ST中珠
sh.600569,1,安阳钢铁
sh.600570,1,恒生电子
sh.600571,1,信雅达
sh.600572,1,康恩贝
sh.600573,1,惠泉啤酒
sh.600575,1,淮河能源
sh.600576,1,祥源文旅
sh.600577,1,精达股份
sh.600578,1,京能电力
sh.600579,1,克劳斯
sh.600580,1,卧龙电驱
sh.600581,1,八一钢铁
sh.600582,1,天地科技
sh.600583,1,海油工程
sh.600584,1,长电科技
sh.600585,1,海螺水泥
sh.600586,1,金晶科技
sh.600587,1,新华医疗
sh.600588,1,用友网络
sh.600589,1,*ST榕泰
sh.600590,1,泰豪科技
sh.600592,1,龙溪股份
sh.600593,1,大连圣亚
sh.600594,1,益佰制药
sh.600595,1,中孚实业
sh.600596,1,新安股份
sh.600597,1,光明乳业
sh.600598,1,北大荒
sh.600599,1,ST熊猫
sh.600600,1,青岛啤酒
sh.600601,1,方正科技
sh.600602,1,云赛智联
sh.600603,1,广汇物流
sh.600604,1,市北高新
sh.600605,1,汇通能源
sh.600608,1,ST沪科
sh.600609,1,金杯汽车
sh.600610,1,中毅达
sh.600611,1,大众交通
sh.600612,1,老凤祥
sh.600613,1,神奇制药
sh.600615,1,丰华股份
sh.600616,1,金枫酒业
sh.600617,1,国新能源
sh.600618,1,氯碱化工
sh.600619,1,海立股份
sh.600620,1,天宸股份
sh.600621,1,华鑫股份
sh.600622,1,光大嘉宝
sh.600623,1,华谊集团
sh.600624,1,复旦复华
sh.600626,1,申达股份
sh.600628,1,新世界
sh.600629,1,华建集团
sh.600630,1,龙头股份
sh.600635,1,大众公用
sh.600636,1,国新文化
sh.600637,1,东方明珠
sh.600638,1,新黄浦
sh.600639,1,浦东金桥
sh.600640,1,国脉文化
sh.600641,1,万业企业
sh.600642,1,申能股份
sh.600643,1,爱建集团
sh.600644,1,乐山电力
sh.600645,1,中源协和
sh.600647,1,*ST同达
sh.600648,1,外高桥
sh.600649,1,城投控股
sh.600651,1,飞乐音响
sh.600653,1,申华控股
sh.600654,1,ST中安
sh.600655,1,豫园股份
sh.600657,1,信达地产
sh.600658,1,电子城
sh.600660,1,福耀玻璃
sh.600661,1,昂立教育
sh.600662,1,外服控股
sh.600663,1,陆家嘴
sh.600664,1,哈药股份
sh.600665,1,天地源
sh.600666,1,ST瑞德
sh.600667,1,太极实业
sh.600668,1,尖峰集团
sh.600671,1,*ST目药
sh.600673,1,东阳光
sh.600674,1,川投能源
sh.600676,1,交运股份
sh.600678,1,四川金顶
sh.600679,1,上海凤凰
sh.600682,1,南京新百
sh.600683,1,京投发展
sh.600684,1,珠江股份
sh.600685,1,中船防务
sh.600686,1,金龙汽车
sh.600688,1,上海石化
sh.600689,1,上海三毛
sh.600690,1,海尔智家
sh.600691,1,阳煤化工
sh.600692,1,亚通股份
sh.600693,1,东百集团
sh.600694,1,大商股份
sh.600696,1,岩石股份
sh.600697,1,欧亚集团
sh.600702,1,舍得酒业
sh.600703,1,三安光电
sh.600704,1,物产中大
sh.600706,1,曲江文旅
sh.600707,1,彩虹股份
sh.600708,1,光明地产
sh.600710,1,苏美达
sh.600711,1,盛屯矿业
sh.600712,1,南宁百货
sh.600713,1,南京医药
sh.600714,1,金瑞矿业
sh.600715,1,文投控股
sh.600716,1,凤凰股份
sh.600717,1,天津港
sh.600718,1,东软集团
sh.600719,1,大连热电
sh.600720,1,祁连山
sh.600721,1,百花医药
sh.600722,1,金牛化工
sh.600724,1,宁波富达
sh.600725,1,云维股份
sh.600726,1,华电能源
sh.600728,1,佳都科技
sh.600729,1,重庆百货
sh.600730,1,中国高科
sh.600731,1,湖南海利
sh.600732,1,爱旭股份
sh.600733,1,北汽蓝谷
sh.600734,1,ST实达
sh.600735,1,新华锦
sh.600736,1,苏州高新
sh.600737,1,中粮糖业
sh.600738,1,丽尚国潮
sh.600739,1,辽宁成大
sh.600740,1,山西焦化
sh.600741,1,华域汽车
sh.600742,1,一汽富维
sh.600743,1,华远地产
sh.600744,1,华银电力
sh.600745,1,闻泰科技
sh.600746,1,江苏索普
sh.600749,1,西藏旅游
sh.600750,1,江中药业
sh.600751,1,海航科技
sh.600753,1,庚星股份
sh.600754,1,锦江酒店
sh.600755,1,厦门国贸
sh.600756,1,浪潮软件
sh.600757,1,长江传媒
sh.600758,1,辽宁能源
sh.600759,1,*ST洲际
sh.600760,1,中航沈飞
sh.600761,1,安徽合力
sh.600763,1,通策医疗
sh.600764,1,中国海防
sh.600765,1,中航重机
sh.600766,1,*ST园城
sh.600768,1,宁波富邦
sh.600769,1,祥龙电业
sh.600770,1,综艺股份
sh.600771,1,广誉远
sh.600773,1,西藏城投
sh.600774,1,汉商集团
sh.600775,1,南京熊猫
sh.600776,1,东方通信
sh.600777,1,新潮能源
sh.600778,1,友好集团
sh.600779,1,水井坊
sh.600782,1,新钢股份
sh.600783,1,鲁信创投
sh.600784,1,鲁银投资
sh.600785,1,新华百货
sh.600787,1,中储股份
sh.600789,1,鲁抗医药
sh.600790,1,轻纺城
sh.600791,1,京能置业
sh.600792,1,云煤能源
sh.600793,1,宜宾纸业
sh.600794,1,保税科技
sh.600795,1,国电电力
sh.600796,1,钱江生化
sh.600797,1,浙大网新
sh.600798,1,宁波海运
sh.600800,1,渤海化学
sh.600801,1,华新水泥
sh.600802,1,福建水泥
sh.600803,1,新奥股份
sh.600804,1,ST鹏博士
sh.600805,1,悦达投资
sh.600807,1,济南高新
sh.600808,1,马钢股份
sh.600809,1,山西汾酒
sh.600810,1,神马股份
sh.600811,1,东方集团
sh.600812,1,华北制药
sh.600814,1,杭州解百
sh.600815,1,厦工股份
sh.600818,1,中路股份
sh.600819,1,耀皮玻璃
sh.600820,1,隧道股份
sh.600821,1,金开新能
sh.600822,1,上海物贸
sh.600823,1,ST世茂
sh.600824,1,益民集团
sh.600825,1,新华传媒
sh.600826,1,兰生股份
sh.600828,1,茂业商业
sh.600829,1,人民同泰
sh.600830,1,香溢融通
sh.600831,1,广电网络
sh.600833,1,第一医药
sh.600834,1,申通地铁
sh.600835,1,上海机电
sh.600836,1,上海易连
sh.600837,1,海通证券
sh.600838,1,上海九百
sh.600839,1,四川长虹
sh.600841,1,动力新科
sh.600843,1,上工申贝
sh.600844,1,丹化科技
sh.600845,1,宝信软件
sh.600846,1,同济科技
sh.600847,1,万里股份
sh.600848,1,上海临港
sh.600850,1,电科数字
sh.600851,1,海欣股份
sh.600853,1,龙建股份
sh.600854,1,春兰股份
sh.600855,1,航天长峰
sh.600857,1,宁波中百
sh.600858,1,银座股份
sh.600859,1,王府井
sh.600860,1,京城股份
sh.600861,1,北京人力
sh.600862,1,中航高科
sh.600863,1,内蒙华电
sh.600864,1,哈投股份
sh.600865,1,百大集团
sh.600866,1,星湖科技
sh.600867,1,通化东宝
sh.600868,1,梅雁吉祥
sh.600869,1,远东股份
sh.600871,1,石化油服
sh.600872,1,中炬高新
sh.600873,1,梅花生物
sh.600874,1,创业环保
sh.600875,1,东方电气
sh.600876,1,凯盛新能
sh.600877,1,电科芯片
sh.600879,1,航天电子
sh.600880,1,博瑞传播
sh.600881,1,亚泰集团
sh.600882,1,妙可蓝多
sh.600883,1,博闻科技
sh.600884,1,杉杉股份
sh.600885,1,宏发股份
sh.600886,1,国投电力
sh.600887,1,伊利股份
sh.600888,1,新疆众和
sh.600889,1,南京化纤
sh.600892,1,大晟文化
sh.600894,1,广日股份
sh.600895,1,张江高科
sh.600897,1,厦门空港
sh.600900,1,长江电力
sh.600960,1,渤海汽车
sh.600961,1,株冶集团
sh.600962,1,国投中鲁
sh.600963,1,岳阳林纸
sh.600966,1,博汇纸业
sh.600967,1,内蒙一机
sh.600969,1,郴电国际
sh.600970,1,中材国际
sh.600971,1,恒源煤电
sh.600973,1,宝胜股份
sh.600975,1,新五丰
sh.600976,1,健民集团
sh.600979,1,广安爱众
sh.600980,1,北矿科技
sh.600981,1,汇鸿集团
sh.600982,1,宁波能源
sh.600983,1,惠而浦
sh.600984,1,建设机械
sh.600985,1,淮北矿业
sh.600986,1,浙文互联
sh.600987,1,航民股份
sh.600988,1,赤峰黄金
sh.600990,1,四创电子
sh.600992,1,贵绳股份
sh.600993,1,马应龙
sh.600995,1,南网储能
sh.600997,1,开滦股份
sh.600999,1,招商证券
sh.601000,1,唐山港
sh.601001,1,晋控煤业
sh.601002,1,晋亿实业
sh.601003,1,柳钢股份
sh.601005,1,重庆钢铁
sh.601006,1,大秦铁路
sh.601007,1,金陵饭店
sh.601008,1,连云港
sh.601009,1,南京银行
sh.601088,1,中国神华
sh.601099,1,太平洋
sh.601101,1,昊华能源
sh.601106,1,中国一重
sh.601107,1,四川成渝
sh.601111,1,中国国航
sh.601117,1,中国化学
sh.601139,1,深圳燃气
sh.601158,1,重庆水务
sh.601166,1,兴业银行
sh.601168,1,西部矿业
sh.601169,1,北京银行
sh.601179,1,中国西电
sh.601186,1,中国铁建
sh.601188,1,龙江交通
sh.601288,1,农业银行
sh.601328,1,交通银行
sh.601333,1,广深铁路
sh.601369,1,陕鼓动力
sh.601390,1,中国中铁
sh.601398,1,工商银行
sh.601518,1,吉林高速
sh.601588,1,北辰实业
sh.601600,1,中国铝业
sh.601601,1,中国太保
sh.601607,1,上海医药
sh.601618,1,中国中冶
sh.601628,1,中国人寿
sh.601666,1,平煤股份
sh.601668,1,中国建筑
sh.601678,1,滨化股份
sh.601688,1,华泰证券
sh.601699,1,潞安环能
sh.601717,1,郑煤机
sh.601727,1,上海电气
sh.601766,1,中国中车
sh.601788,1,光大证券
sh.601801,1,皖新传媒
sh.601808,1,中海油服
sh.601857,1,中国石油
sh.601866,1,中远海发
sh.601872,1,招商轮船
sh.601877,1,正泰电器
sh.601888,1,中国中免
sh.601898,1,中煤能源
sh.601899,1,紫金矿业
sh.601918,1,新集能源
sh.601919,1,中远海控
sh.601939,1,建设银行
sh.601958,1,金钼股份
sh.601988,1,中国银行
sh.601989,1,中国重工
sh.601991,1,大唐发电
sh.601998,1,中信银行
sh.601999,1,出版传媒
sz.000002,1,万科A
sz.000004,1,国华网安
sz.000005,1,ST星源
sz.000006,1,深振业A
sz.000007,1,*ST全新
sz.000008,1,神州高铁
sz.000009,1,中国宝安
sz.000011,1,深物业A
sz.000012,1,南玻A
sz.000014,1,沙河股份
sz.000016,1,深康佳A
sz.000017,1,深中华A
sz.000020,1,深华发A
sz.000021,1,深科技
sz.000023,1,ST深天
sz.000025,1,特力A
sz.000026,1,飞亚达
sz.000027,1,深圳能源
sz.000028,1,国药一致
sz.000029,1,深深房A
sz.000031,1,大悦城
sz.000032,1,深桑达A
sz.000035,1,中国天楹
sz.000036,1,华联控股
sz.000037,1,深南电A
sz.000039,1,中集集团
sz.000040,1,东旭蓝天
sz.000042,1,中洲控股
sz.000045,1,深纺织A
sz.000046,1,*ST泛海
sz.000048,1,京基智农
sz.000049,1,德赛电池
sz.000050,1,深天马A
sz.000055,1,方大集团
sz.000056,1,皇庭国际
sz.000058,1,深赛格
sz.000059,1,华锦股份
sz.000060,1,中金岭南
sz.000061,1,农产品
sz.000062,1,深圳华强
sz.000063,1,中兴通讯
sz.000065,1,北方国际
sz.000066,1,中国长城
sz.000068,1,华控赛格
sz.000069,1,华侨城A
sz.000070,1,特发信息
